hylak_id,ACR_CR,ACR_EN,ACR_VU,ACR_NT,CNEI_CR,CNEI_EN,CNEI_VU,CNEI_NT,sp_count_CR,sp_count_EN,sp_count_VU,sp_count_NT,exposure_scenario
6568.0,0.0,528.9454458,705.2605944,1586.8363373999998,0.0,264.4727229,176.3151486,176.3151486,0.0,2.0,4.0,9.0,S0_baseline
6570.0,0.0,601.3594348,1202.7188696,2706.1174566,0.0,300.6797174,300.6797174,300.6797174,0.0,2.0,4.0,9.0,S0_baseline
6571.0,0.0,791.8189944,1187.7284916,1781.5927373999998,0.0,395.9094972,197.9547486,197.9547486,0.0,2.0,6.0,9.0,S0_baseline
6572.0,0.0,362.6662182,604.443697,967.1099152,0.0,181.3331091,120.8887394,120.8887394,0.0,2.0,5.0,8.0,S0_baseline
6593.0,178.4415769,178.4415769,892.2078845,1605.9741921,178.4415769,178.4415769,178.4415769,178.4415769,1.0,1.0,5.0,9.0,S0_baseline
6597.0,0.0,210.7032666,526.7581665,737.4614331,0.0,105.3516333,105.3516333,105.3516333,0.0,2.0,5.0,7.0,S0_baseline
6616.0,0.0,499.8870501,833.1450834999999,1333.0321336,0.0,166.6290167,166.6290167,166.6290167,0.0,3.0,5.0,8.0,S0_baseline
6622.0,0.0,413.3494143,964.4819667,964.4819667,0.0,137.7831381,137.7831381,137.7831381,0.0,3.0,7.0,7.0,S0_baseline
6642.0,79.11480338,158.22960676,395.5740169,553.80362366,79.11480338,79.11480338,79.11480338,79.11480338,1.0,2.0,5.0,7.0,S0_baseline
6644.0,0.0,498.148538,622.6856725,1120.8342105,0.0,166.04951266666666,124.5371345,124.5371345,0.0,3.0,5.0,9.0,S0_baseline
6655.0,139.5061481,139.5061481,697.5307405,1255.5553329,139.5061481,139.5061481,139.5061481,139.5061481,1.0,1.0,5.0,9.0,S0_baseline
6688.0,0.0,132.5042415,795.025449,927.5296905,0.0,132.5042415,132.5042415,132.5042415,0.0,1.0,6.0,7.0,S0_baseline
6691.0,0.0,67.00979067,268.03916268,670.0979067000001,0.0,67.00979067,67.00979067,67.00979067,0.0,1.0,4.0,10.0,S0_baseline
6694.0,0.0,58.18441465,349.1064879,640.02856115,0.0,58.18441465,69.82129757999999,64.002856115,0.0,1.0,5.0,10.0,S0_baseline
6699.0,0.0,49.88313338,249.4156669,548.7144671799999,0.0,49.88313338,49.88313338,49.88313338,0.0,1.0,5.0,11.0,S0_baseline
6700.0,0.0,96.36984609,481.84923045,1060.06830699,0.0,96.36984609,96.36984609,96.36984609,0.0,1.0,5.0,11.0,S0_baseline
6702.0,0.0,47.62081166,238.1040583,523.82892826,0.0,47.62081166,47.62081166,47.62081166,0.0,1.0,5.0,11.0,S0_baseline
6706.0,0.0,78.01358707,390.06793535,702.12228363,0.0,78.01358707,78.01358707,78.01358707,0.0,1.0,5.0,9.0,S0_baseline
6712.0,0.0,163.62647718,490.87943154,1063.57210167,0.0,81.81323859,98.175886308,96.6883728790909,0.0,2.0,5.0,11.0,S0_baseline
6735.0,0.0,140.6611619,562.6446476,1406.611619,0.0,140.6611619,140.6611619,140.6611619,0.0,1.0,4.0,10.0,S0_baseline
6753.0,0.0,136.08869913,317.54029797,453.6289971,0.0,45.36289971,52.923382995,45.36289971,0.0,3.0,6.0,10.0,S0_baseline
6778.0,0.0,354.7419156,1064.2257468,1773.7095780000002,0.0,177.3709578,177.3709578,177.3709578,0.0,2.0,6.0,10.0,S0_baseline
6780.0,0.0,401.2035024000001,1069.8760064,1604.8140096000002,0.0,133.7345008,152.8394294857143,160.48140096000003,0.0,3.0,7.0,10.0,S0_baseline
6786.0,0.0,395.1424982,1185.4274946,1778.1412418999998,0.0,197.5712491,197.5712491,197.5712491,0.0,2.0,6.0,9.0,S0_baseline
6789.0,0.0,307.68778032,461.53167048,615.37556064,0.0,76.92194508,76.92194508,76.92194508,0.0,4.0,6.0,8.0,S0_baseline
6897.0,0.0,176.82564136,176.82564136,442.0641034,0.0,58.94188045333333,44.20641034,44.20641034,0.0,3.0,4.0,10.0,S0_baseline
6906.0,0.0,178.8934422,357.7868844,715.5737688,0.0,89.4467211,89.4467211,89.4467211,0.0,2.0,4.0,8.0,S0_baseline
6912.0,0.0,156.06696060000002,156.06696060000002,416.1785616,0.0,52.0223202,52.0223202,52.0223202,0.0,3.0,3.0,8.0,S0_baseline
6917.0,0.0,119.64977218,119.64977218,478.59908872,0.0,59.82488609,59.82488609,59.82488609,0.0,2.0,2.0,8.0,S0_baseline
6932.0,0.0,379.1669922,631.944987,1516.6679688,0.0,126.3889974,157.98624675,151.66679688,0.0,3.0,4.0,10.0,S0_baseline
6945.0,180.08980306,270.13470459,360.17960612,900.4490153,180.08980306,90.04490153,90.04490153,90.04490153,1.0,3.0,4.0,10.0,S0_baseline
6973.0,0.0,201.5249498,604.5748494,1612.1995984,0.0,201.5249498,201.5249498,201.5249498,0.0,1.0,3.0,8.0,S0_baseline
6986.0,0.0,169.9909605,509.9728815,1359.927684,0.0,169.9909605,169.9909605,169.9909605,0.0,1.0,3.0,8.0,S0_baseline
7016.0,0.0,1431.7061485,1145.3649188,3149.7535267,0.0,286.3412297,381.78830626666667,349.97261407777773,0.0,5.0,3.0,9.0,S0_baseline
7024.0,0.0,69.24112061,207.72336183,484.68784427,0.0,69.24112061,69.24112061,69.24112061,0.0,1.0,3.0,7.0,S0_baseline
7048.0,0.0,73.16022924,109.74034386,329.22103158000004,0.0,36.58011462,36.58011462,36.58011462,0.0,2.0,3.0,9.0,S0_baseline
7071.0,0.0,60.99440106,91.49160159,213.48040371,0.0,30.49720053,30.49720053,30.497200530000004,0.0,2.0,3.0,7.0,S0_baseline
7077.0,0.0,115.0345017,345.1035051,805.2415119000001,0.0,115.0345017,115.0345017,115.0345017,0.0,1.0,3.0,7.0,S0_baseline
7118.0,0.0,136.2853351,204.42800265,613.2840079499999,0.0,68.14266755,68.14266755,68.14266755,0.0,2.0,3.0,9.0,S0_baseline
7139.0,0.0,73.77939753,221.33819259,516.45578271,0.0,73.77939753,73.77939753,73.77939753,0.0,1.0,3.0,7.0,S0_baseline
7198.0,0.0,476.7834084,476.7834084,1311.1543731,0.0,119.1958521,158.9278028,145.68381923333334,0.0,4.0,3.0,9.0,S0_baseline
7207.0,0.0,1253.8036084,1253.8036084,3761.4108252,0.0,417.9345361333333,417.9345361333333,376.14108252,0.0,3.0,3.0,10.0,S0_baseline
7218.0,0.0,854.8401354,854.8401354,2564.5204062000003,0.0,284.9467118,284.9467118,284.9467118,0.0,3.0,3.0,9.0,S0_baseline
7220.0,0.0,354.086961,472.115948,1534.376831,0.0,118.028987,157.37198266666667,139.48880281818182,0.0,3.0,3.0,11.0,S0_baseline
7222.0,0.0,164.93097876,329.86195752,907.12038318,0.0,82.46548938,109.95398584,100.79115368666666,0.0,2.0,3.0,9.0,S0_baseline
7241.0,0.0,199.98160726,299.97241089,799.92642904,0.0,99.99080363,99.99080363,99.99080363,0.0,2.0,3.0,8.0,S0_baseline
7298.0,0.0,122.30955852,122.30955852,326.15882272,0.0,40.76985284,40.76985284,40.76985284,0.0,3.0,3.0,8.0,S0_baseline
7301.0,0.0,101.158136,151.737204,404.632544,0.0,50.579068,50.579068,50.579068,0.0,2.0,3.0,8.0,S0_baseline
7310.0,0.0,95.86677928,191.73355856,431.40050676,0.0,47.93338964,63.91118618666667,61.62864382285714,0.0,2.0,3.0,7.0,S0_baseline
7636.0,0.0,86.73170708,173.46341416,346.92682832,0.0,86.73170708,86.73170708,86.73170708,0.0,1.0,2.0,4.0,S0_baseline
